"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"WASH7P"	289.234563366928	-0.233304311960497	0.240229343758661	-0.971173247656535	0.331462013388911	0.999790132339301
"WASH9P"	143.701051127817	-0.155586458462867	0.195385346394143	-0.796305666388147	0.425854392878022	0.999790132339301
"LINC01128"	270.15479418825	-0.044926366415099	0.130589086062863	-0.344028492499536	0.730824858560009	0.999790132339301
"NOC2L"	5335.80009265594	-0.00280314492508459	0.114835181546293	-0.0244101579963503	0.980525445831543	0.999790132339301
"KLHL17"	111.670846580064	-0.263368181494043	0.21088783581034	-1.24885430438435	0.211718367583529	0.999790132339301
"PLEKHN1"	169.963594899537	-0.532625085708658	0.355770084957226	-1.49710475452903	0.134366002822535	0.999790132339301
"HES4"	883.383412710506	-0.133010542296057	0.183370956058069	-0.72536319357977	0.468229246927071	0.999790132339301
"ISG15"	397.667664105143	-0.201705827194011	0.356197592453667	-0.566275099740456	0.571206784651376	0.999790132339301
"AGRN"	4842.2543163852	-0.201835133549333	0.127891967105039	-1.57816896649625	0.114526797636709	0.999790132339301
"LOC100288175"	121.339113733591	-0.132438858558118	0.23024722487433	-0.575202843944825	0.565154119624108	0.999790132339301
"RNF223"	90.2388756663795	-0.533554732129937	0.332128844925998	-1.60646911667314	0.108170875295579	0.999790132339301
"C1orf159"	360.717630226032	-0.0856114750187922	0.182992670315418	-0.467841006261217	0.639898293717089	0.999790132339301
"SDF4"	6526.12730173485	0.00356846820006368	0.10172607605371	0.0350791885276257	0.972016596346394	0.999790132339301
"B3GALT6"	1394.77388418919	0.0488154043714732	0.150973874031329	0.323336767269702	0.746440211897368	0.999790132339301
"C1QTNF12"	149.789455765491	-0.277247799695175	0.266248319785725	-1.04131286131046	0.29773036955119	0.999790132339301
"UBE2J2"	2556.05554544437	-0.0223384972459765	0.145767328283693	-0.153247627633685	0.87820299979969	0.999790132339301
"ACAP3"	869.957974688588	-0.179284996740894	0.172353659410698	-1.04021578279159	0.298239660518489	0.999790132339301
"PUSL1"	1586.32174786633	0.0472448643221898	0.186351686101772	0.253525284962476	0.799862324671529	0.999790132339301
"INTS11"	2514.38558835089	0.00507363148388204	0.129179989334468	0.0392756765968264	0.968670598913482	0.999790132339301
"CPTP"	1843.54264615115	0.0725345447582093	0.149893570300129	0.483906978884917	0.628451887268938	0.999790132339301
"TAS1R3"	17.2201884136872	-0.539154551224536	0.482620186565739	-1.11714048900666	0.263934260932098	0.999790132339301
"DVL1"	2093.13088408579	-0.0899100562756848	0.143770725921996	-0.625371094839337	0.531727528661692	0.999790132339301
"MXRA8"	342.779688321057	-0.0110361089427017	0.1265559740013	-0.0872033819801216	0.930509851168445	0.999790132339301
"AURKAIP1"	7421.25757349648	-0.0823616467281743	0.274180583749216	-0.300391973793111	0.763878185151039	0.999790132339301
"CCNL2"	812.458173812782	-0.248094522705375	0.134349588343183	-1.84663403710358	0.0648001976739493	0.999790132339301
"MRPL20-AS1"	782.64289774847	-0.0067055816422403	0.151094011871827	-0.0443801945501894	0.964601348551391	0.999790132339301
"MRPL20"	2893.04083827286	0.0120330178608963	0.228578522353349	0.0526428193559454	0.958016499338077	0.999790132339301
"VWA1"	2035.73485747014	-0.0478468973347996	0.110570445898221	-0.432727723453719	0.665212586625034	0.999790132339301
"ATAD3B"	2527.49267355868	-0.0797534584695228	0.186465621346904	-0.427711327661565	0.668861301727795	0.999790132339301
"ATAD3A"	5085.11593915817	-0.0982490167203051	0.212609157587887	-0.462110935554089	0.644001768483431	0.999790132339301
"SSU72"	4458.89029588147	0.0832682470020731	0.198848376686149	0.418752460491539	0.675397051492733	0.999790132339301
"FNDC10"	175.245027012092	-0.113301465633956	0.260798845177644	-0.43444005880003	0.663968913509129	0.999790132339301
"MIB2"	524.010199151371	-0.190423663111298	0.22503059167976	-0.846212338019754	0.39743430027352	0.999790132339301
"CDK11B"	1992.05318067492	-0.170606540279107	0.223107927804429	-0.764681658594653	0.444461130541172	0.999790132339301
"SLC35E2B"	393.108318110059	-0.101264374789217	0.208961316303746	-0.484608235535896	0.627954270690407	0.999790132339301
"CDK11A"	784.2684966799	-0.187168670874243	0.250029490132872	-0.748586379849739	0.454106543840831	0.999790132339301
"SLC35E2A"	555.860040993625	-0.088609806224289	0.184160587856052	-0.481155100859855	0.630406269012792	0.999790132339301
"NADK"	1737.25339760644	-0.00705197243218558	0.104767465772407	-0.0673107092950499	0.946334351441389	0.999790132339301
"GNB1"	9083.22947240425	0.0957234853311447	0.0761795304722257	1.25655126433267	0.208916171686992	0.999790132339301
"TMEM52"	58.6061381482377	-0.277932469157312	0.344436388105401	-0.806919590250325	0.419712811405895	0.999790132339301
"PRKCZ"	848.438602695062	0.0175735436374669	0.123385388004751	0.142428077762257	0.886741885609342	0.999790132339301
"FAAP20"	1104.21095063511	-0.127811445422121	0.258617966715464	-0.494209459015435	0.621158260164702	0.999790132339301
"LOC112268219"	134.733252356101	-0.343894065092873	0.310825053977066	-1.10639107334716	0.268557287553368	0.999790132339301
"SKI"	1582.47173456855	-0.0859306328526566	0.204344685049999	-0.420518071373527	0.674107030616448	0.999790132339301
