"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"WASH7P"	289.234563366928	-1.09343559090449	0.246995248832515	-4.42694989508053	9.55749218462668e-06	5.27979812381775e-05
"WASH9P"	143.701051127817	0.3412668367335	0.196027207704268	1.74091566538224	0.0816983623518435	0.127955041529657
"LINC01128"	270.15479418825	0.0625095094457664	0.13426541628371	0.465566719829628	0.6415256691897	0.710601560234903
"NOC2L"	5335.80009265594	-0.470411797222688	0.115280846366018	-4.08057202953843	4.4925004767772e-05	0.000200835877018879
"KLHL17"	111.670846580064	-0.700333517090802	0.225293969849594	-3.10853201068072	0.00188019276973081	0.00508587372149316
"PLEKHN1"	169.963594899537	-1.33717833274498	0.364443526441313	-3.66909613075624	0.000243409544711297	0.000870290379668251
"HES4"	883.383412710506	-1.5206730549725	0.188005074088962	-8.0884681561995	6.04197786295575e-16	2.62186413974907e-14
"ISG15"	397.667664105143	0.281059552600257	0.356341262831289	0.788737039227831	0.430265714846682	0.514927076621155
"AGRN"	4842.2543163852	0.0190400682966284	0.12806725032888	0.148672422088653	0.881812123339407	0.911506913960861
"LOC100288175"	121.339113733591	-0.943566488085403	0.246322785892168	-3.83060984256026	0.000127826054353143	0.000499091059816109
"RNF223"	90.2388756663795	-1.11469747387937	0.34657934522893	-3.21628362804789	0.00129862418249163	0.0036974292282867
"C1orf159"	360.717630226032	-0.211204564392896	0.185940145069602	-1.13587393574333	0.256009328031655	0.335783820816945
"SDF4"	6526.12730173485	-0.424148125208594	0.102153193770595	-4.15207894685213	3.29468556853742e-05	0.00015454859557766
"B3GALT6"	1394.77388418919	-0.630114597400842	0.152652466606383	-4.12777213109568	3.66294822783246e-05	0.000168733735446695
"C1QTNF12"	149.789455765491	-1.40644157845527	0.282193215508528	-4.98396666241881	6.22938170191964e-07	4.85025266119073e-06
"UBE2J2"	2556.05554544437	-0.383913068093297	0.146436472647003	-2.62170387713961	0.00874914143612857	0.0189030266318691
"ACAP3"	869.957974688588	-0.656527694953793	0.174668100170704	-3.75871549706079	0.000170787904481559	0.000641272960401164
"PUSL1"	1586.32174786633	-0.52965586154026	0.18746680842238	-2.82533140665038	0.00472317364737757	0.01118186702031
"INTS11"	2514.38558835089	-0.332782838639154	0.129955095117566	-2.56075253023435	0.0104445725144415	0.0219225768138317
"CPTP"	1843.54264615115	-0.404476573962729	0.150926693506761	-2.67995385418424	0.00736323100633372	0.016359733733552
"TAS1R3"	17.2201884136872	-0.625801758763976	0.514338074326617	-1.21671287816538	0.22371347751156	0.29995077973118
"DVL1"	2093.13088408579	-0.972465611018374	0.145246062271645	-6.6952975922998	2.15233169244842e-11	4.43174077384821e-10
