"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"WASH7P"	289.234563366928	-0.346677159692152	0.240392000876614	-1.44213267674448	0.14926494832251	0.356527339538663
"WASH9P"	143.701051127817	-0.292494034550521	0.196134619676542	-1.49129223098345	0.135884787766835	0.338494085163647
"LINC01128"	270.15479418825	0.119969628319193	0.129167255904897	0.928792885462584	0.352996432228692	0.584879806469229
"NOC2L"	5335.80009265594	-0.441547012529499	0.114965640269149	-3.84068676080768	0.000122690588906853	0.00217168992261548
"KLHL17"	111.670846580064	-0.274826556514358	0.210427226050952	-1.30604086587072	0.191538660763098	0.41306589033009
"PLEKHN1"	169.963594899537	-0.796289925796774	0.356626789308035	-2.23283822099237	0.0255596147958896	0.112544860801658
"HES4"	883.383412710506	-0.260137486342407	0.18345265422718	-1.418008845052	0.156188182425006	0.365189980961824
"ISG15"	397.667664105143	-0.0558648410394505	0.355845971566252	-0.156991635435866	0.875251440314178	0.940711664046742
"AGRN"	4842.2543163852	-0.132362985845761	0.12783596732725	-1.03541271375467	0.300476210766192	0.534830459359417
"LOC100288175"	121.339113733591	0.316784042116779	0.22713911778054	1.39466968619141	0.163115470195115	0.375136863936405
"RNF223"	90.2388756663795	0.262306160478404	0.326635736078716	0.803054079836478	0.421943477548972	0.645932657277176
"C1orf159"	360.717630226032	-0.428342419327909	0.184055631250346	-2.32724430335573	0.0199522662726552	0.0952668596854208
"SDF4"	6526.12730173485	-0.230409010164768	0.101782994265444	-2.26372796190173	0.02359085159186	0.106928277010572
"B3GALT6"	1394.77388418919	-0.148622017855041	0.151100749737982	-0.983595502423124	0.325314437407577	0.560630936128652
"C1QTNF12"	149.789455765491	-0.639852017783961	0.267978552867228	-2.38769860848148	0.0169542392507833	0.0859422690465589
"UBE2J2"	2556.05554544437	-0.317032145833722	0.145901879264609	-2.17291338145652	0.029786837139991	0.124354571287856
"ACAP3"	869.957974688588	-0.318733290170334	0.172483722272556	-1.8479035932833	0.0646162906316305	0.211284757076593
"PUSL1"	1586.32174786633	-0.0212391540303066	0.186359068492844	-0.113968985797556	0.909262378964728	0.958520084280348
"INTS11"	2514.38558835089	-0.209319180947427	0.129283896456707	-1.61906615351372	0.105433030265731	0.288523942451567
"CPTP"	1843.54264615115	-0.0845965164933083	0.149964432128251	-0.564110538030516	0.572678906730051	0.764283823072483
