"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"WASH7P"	289.234563366928	-0.966473884860566	0.243072623718452	-3.97607048492643	7.00633669606649e-05	0.000610055016111096
"WASH9P"	143.701051127817	-0.453740781446966	0.198817190323092	-2.28220095410063	0.0224774788028546	0.0499324616661046
"LINC01128"	270.15479418825	-0.120658543757933	0.131400658431377	-0.918249156422195	0.358488438925622	0.462232189640644
"NOC2L"	5335.80009265594	-0.360900788326177	0.114967921319133	-3.13914337308381	0.00169442522267618	0.00670024719990861
"KLHL17"	111.670846580064	-0.272524603558479	0.211368886003891	-1.28933169261942	0.19728279745936	0.286577410070178
"PLEKHN1"	169.963594899537	-0.901257616389593	0.357544611978355	-2.520685772337	0.0117126393890461	0.0297097833093815
"HES4"	883.383412710506	-0.45223610262665	0.183820649471123	-2.46020294198609	0.0138858471355943	0.0341620047165996
"ISG15"	397.667664105143	-1.25692994440369	0.359188998173666	-3.49935535552226	0.000466384568410454	0.00252670810100206
"AGRN"	4842.2543163852	0.202958244864265	0.127739149087605	1.58884920021718	0.11209444240066	0.181294422928444
"LOC100288175"	121.339113733591	-0.300839128876413	0.231816866353146	-1.29774478280679	0.194375049468886	0.283356811044628
"RNF223"	90.2388756663795	-0.598688424652436	0.332988382327077	-1.79792586296412	0.0721887570113147	0.126990442480488
"C1orf159"	360.717630226032	-0.651702748348322	0.185482262145112	-3.51355833604436	0.000442147313826487	0.00243483999328435
"SDF4"	6526.12730173485	-0.169011636679049	0.101791652803102	-1.6603683310455	0.0968403770189159	0.161586611052855
"B3GALT6"	1394.77388418919	-0.60142051062502	0.151720801042971	-3.96399509158063	7.37057684419974e-05	0.000631452248993112
"C1QTNF12"	149.789455765491	-1.02582431413906	0.2714925522624	-3.77846208152181	0.000157799873806465	0.00113022038647835
"UBE2J2"	2556.05554544437	-0.673847390505369	0.146220431446348	-4.60843524971148	4.05710677965697e-06	7.11110818634404e-05
"ACAP3"	869.957974688588	-0.101619416942973	0.172281994861723	-0.589843512228509	0.555295567882992	0.650171168512676
"PUSL1"	1586.32174786633	-0.417801293975768	0.18673361396078	-2.23741877594422	0.0252589825099463	0.05484925264833
"INTS11"	2514.38558835089	-0.112257279061726	0.129276784174881	-0.868348325480223	0.385203674349809	0.490225768980527
"CPTP"	1843.54264615115	-0.351472180366749	0.150258149593421	-2.33912224606643	0.0193291076617226	0.0442808674176787
"TAS1R3"	17.2201884136872	-0.352129071632628	0.477161485861531	-0.737966248463762	0.460534959385779	0.562660191575325
"DVL1"	2093.13088408579	-0.549329837851804	0.144119264589771	-3.81163364533844	0.000138051381622032	0.00101890332740649
"MXRA8"	342.779688321057	0.226871364546395	0.125664515468315	1.80537332834899	0.0710162819367849	0.125264308553006
"AURKAIP1"	7421.25757349648	-0.961086312304991	0.274290118886298	-3.50390424637714	0.000458490185841268	0.0024951005946803
"CCNL2"	812.458173812782	-0.191014428015803	0.134277783986699	-1.42253187641765	0.154871904511902	0.235902528230912
"MRPL20-AS1"	782.64289774847	-0.195206227955045	0.151576455412509	-1.28784003705457	0.197801652138611	0.287205843028946
"MRPL20"	2893.04083827286	-0.815470066634619	0.22887194138754	-3.56299711397918	0.000366644711834763	0.00211264742693024
"VWA1"	2035.73485747014	-0.290274560928325	0.110907278815239	-2.61727241015348	0.00886355736786163	0.0237442813703303
