"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"WASH7P"	289.234563366928	-1.39029590255078	0.244572329505001	-5.68460015638177	1.31119063004214e-08	3.55757262187809e-07
"WASH9P"	143.701051127817	-0.294114282451964	0.195726534862402	-1.50267965791521	0.132921670812514	0.200246805220436
"LINC01128"	270.15479418825	0.169803041505688	0.128617956614404	1.32021255799264	0.186764060337491	0.2639510166762
"NOC2L"	5335.80009265594	-0.360167160775758	0.114916152935244	-3.13417349585931	0.00172338926358197	0.00532320699500093
"KLHL17"	111.670846580064	-0.106112955902136	0.208435267035419	-0.509093098357991	0.610686969223753	0.689396814168192
"PLEKHN1"	169.963594899537	-0.845148567820419	0.356620221707843	-2.36988402893428	0.0177936655286545	0.0371223304601502
"HES4"	883.383412710506	-1.06568832304203	0.184634037421951	-5.7718952470642	7.83848425730559e-09	2.28499534520405e-07
"ISG15"	397.667664105143	-1.44338615795116	0.359380188197592	-4.01632089178373	5.91137522875725e-05	0.000352986735981641
"AGRN"	4842.2543163852	0.0444931588985016	0.127746398561151	0.348292863044614	0.72762025317839	0.789425605736828
"LOC100288175"	121.339113733591	-0.830159227509607	0.23550540912745	-3.52501129628128	0.000423464733152522	0.00169920069241423
"RNF223"	90.2388756663795	-1.70910842821252	0.345307692700614	-4.9495231769839	7.43955185684534e-07	1.05886442133433e-05
"C1orf159"	360.717630226032	0.0969574187926592	0.182104547271961	0.532427225157975	0.594430133201089	0.674703777328526
"SDF4"	6526.12730173485	-0.313768733411624	0.101793911315899	-3.0823919560169	0.00205344258885767	0.00616680842397697
"B3GALT6"	1394.77388418919	-0.664088932562647	0.151619510772759	-4.37997015804881	1.18695562758129e-05	0.000100079891586316
"C1QTNF12"	149.789455765491	-1.03416266740408	0.270419108562539	-3.82429582325509	0.000131146375313395	0.000665574099780972
"UBE2J2"	2556.05554544437	-0.550831979192787	0.146021087664908	-3.77227692247333	0.000161764574379274	0.000786506445211931
"ACAP3"	869.957974688588	-0.50521302467022	0.172714891229965	-2.92512719124805	0.00344315460942373	0.00950864546159678
"PUSL1"	1586.32174786633	-0.585187852364146	0.186760403411641	-3.13336147103049	0.00172816472445222	0.00533672008788885
"INTS11"	2514.38558835089	-0.349463464202145	0.129347676778788	-2.70173746374897	0.0068978204366162	0.0167810014347336
"CPTP"	1843.54264615115	-0.424609507345452	0.15019853361897	-2.82698836742721	0.00469880347504632	0.0122716055468667
"TAS1R3"	17.2201884136872	-0.43420050145402	0.475163491804719	-0.913791797860737	0.36082625711489	0.45186382753192
"DVL1"	2093.13088408579	-0.595365105457618	0.144044224512268	-4.13321052942954	3.57730765233191e-05	0.000237690237129006
"MXRA8"	342.779688321057	-0.0651488664943077	0.126328348710273	-0.515710584040984	0.606056561294115	0.685447449661278
"AURKAIP1"	7421.25757349648	-1.16683828059613	0.274301350128651	-4.25385540409795	2.10121013092993e-05	0.000155946080023668
"CCNL2"	812.458173812782	0.232833123745523	0.132924885931779	1.75161424524389	0.0798401614106519	0.13052284087774
"MRPL20-AS1"	782.64289774847	-0.121806163525621	0.151110018213069	-0.806076029677078	0.42019901185688	0.511830596686236
"MRPL20"	2893.04083827286	-1.04515266640274	0.228914777821521	-4.56568455889564	4.978669481467e-06	4.95708780508994e-05
"VWA1"	2035.73485747014	-0.159008103802012	0.110574211048827	-1.43802159919366	0.150427925784159	0.221702097636686
"ATAD3B"	2527.49267355868	-0.793340183724526	0.186761474849163	-4.24787919652734	2.15803700183224e-05	0.000159011996340758
