"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"WASH7P"	289.234563366928	0.199497066104857	0.238577671926264	0.836193364174139	0.403046130926628	0.999795387022178
"WASH9P"	143.701051127817	0.134997522115889	0.190756318371478	0.707696202507932	0.479133936169328	0.999795387022178
"LINC01128"	270.15479418825	0.0417537943249567	0.128090294782722	0.325971568695217	0.744445866164688	0.999795387022178
"NOC2L"	5335.80009265594	0.00279283391872914	0.114751233102522	0.0243381604120449	0.980582874530744	0.999795387022178
"KLHL17"	111.670846580064	0.214043676055947	0.204497308064237	1.04668212057203	0.29524621263282	0.999795387022178
"PLEKHN1"	169.963594899537	0.386566328304011	0.352560835386272	1.09645283736772	0.272880651975806	0.999795387022178
"HES4"	883.383412710506	0.121291271785238	0.182839729509254	0.663374815259167	0.507090531464742	0.999795387022178
"ISG15"	397.667664105143	0.176456935877976	0.355183310330093	0.496805257302165	0.619326387497944	0.999795387022178
"AGRN"	4842.2543163852	0.176569312036484	0.127639756140344	1.3833410324158	0.166560322121305	0.999795387022178
"LOC100288175"	121.339113733591	0.11822645364912	0.226829959605431	0.521211809298799	0.602219228422168	0.999795387022178
"RNF223"	90.2388756663795	0.382563544014885	0.325058775850664	1.17690575500918	0.239233124803069	0.999795387022178
"C1orf159"	360.717630226032	0.0798201316013068	0.181613573808121	0.439505318504654	0.660295429151597	0.999795387022178
"SDF4"	6526.12730173485	-0.00356950832476599	0.101644137929694	-0.0351176998248042	0.971985887697791	0.999795387022178
"B3GALT6"	1394.77388418919	-0.0502983387469563	0.150806192562502	-0.333529664082659	0.738734501349463	0.999795387022178
"C1QTNF12"	149.789455765491	0.230014124084079	0.263038507679636	0.874450384140032	0.381873029094277	0.999795387022178
"UBE2J2"	2556.05554544437	0.0219451857179137	0.145604672176055	0.150717592986159	0.880198494574879	0.999795387022178
"ACAP3"	869.957974688588	0.158552172309985	0.171551460666294	0.924225137426284	0.355369110436304	0.999795387022178
"PUSL1"	1586.32174786633	-0.0487213882542601	0.186224335518799	-0.261627397507034	0.793608719383566	0.999795387022178
"INTS11"	2514.38558835089	-0.00507292091679825	0.129011696852119	-0.039321402946999	0.968634142726548	0.999795387022178
"CPTP"	1843.54264615115	-0.0760937582385022	0.149790453190449	-0.508001388725047	0.611452369304226	0.999795387022178
"TAS1R3"	17.2201884136872	0.375895419187455	0.44877070215754	0.837611317718102	0.402249034384778	0.999795387022178
"DVL1"	2093.13088408579	0.0843992975996024	0.14352514840384	0.588045360260673	0.556501846669483	0.999795387022178
"MXRA8"	342.779688321057	0.0106117286535294	0.12512060098722	0.0848120019389397	0.932410851754299	0.999795387022178
"AURKAIP1"	7421.25757349648	0.0779003125194433	0.274146053679266	0.284156242535528	0.776290647198692	0.999795387022178
"CCNL2"	812.458173812782	0.208572555948963	0.132588576220362	1.57308089350259	0.115700088446656	0.999795387022178
"MRPL20-AS1"	782.64289774847	0.00661241089914075	0.150501696463337	0.0439357897919216	0.964955586705935	0.999795387022178
"MRPL20"	2893.04083827286	-0.0121246144050624	0.228514222151389	-0.0530584673939025	0.957685323030628	0.999795387022178
"VWA1"	2035.73485747014	0.0459533513449121	0.110175071282144	0.417093910719891	0.676609718712121	0.999795387022178
"ATAD3B"	2527.49267355868	0.0754771739493999	0.186309779816534	0.405116543123636	0.685391846838923	0.999795387022178
"ATAD3A"	5085.11593915817	0.091940119152217	0.212537526641403	0.432582991837201	0.665317747826423	0.999795387022178
"SSU72"	4458.89029588147	-0.088310243412291	0.19882523211718	-0.444160142412127	0.656926806603848	0.999795387022178
"FNDC10"	175.245027012092	0.103832664805522	0.258666562300418	0.401415103220532	0.688114531535185	0.999795387022178
"MIB2"	524.010199151371	0.16753534809232	0.224072635810065	0.747683212127389	0.454651259575656	0.999795387022178
"CDK11B"	1992.05318067492	0.152338305875589	0.222844714943037	0.68360744348157	0.494223083139963	0.999795387022178
"SLC35E2B"	393.108318110059	0.0927747559881047	0.207023315594857	0.448136750788322	0.65405450635089	0.999795387022178
"CDK11A"	784.2684966799	0.165250563027435	0.249452728469442	0.662452417503536	0.50768131987407	0.999795387022178
"SLC35E2A"	555.860040993625	0.0818343373135536	0.182603226795048	0.448153840158605	0.654042173725842	0.999795387022178
"NADK"	1737.25339760644	0.00694546243329234	0.104393093524335	0.0665318192881532	0.946954425693578	0.999795387022178
"GNB1"	9083.22947240425	-0.102105881986125	0.0761446151863883	-1.34094685141146	0.179937709210355	0.999795387022178
"TMEM52"	58.6061381482377	0.227516833904843	0.335835686132016	0.677464734392184	0.498111137950008	0.999795387022178
"PRKCZ"	848.438602695062	-0.0175058779953331	0.122792350615931	-0.142564890300764	0.886633827656958	0.999795387022178
"FAAP20"	1104.21095063511	0.117216076881785	0.258298680626611	0.453800525025635	0.649972405694159	0.999795387022178
"LOC112268219"	134.733252356101	0.274933764800793	0.30657984975343	0.896777022436116	0.369837911290307	0.999795387022178
"SKI"	1582.47173456855	0.0807280821153283	0.203956345798963	0.395810592698601	0.692244761839367	0.999795387022178
"MORN1"	128.64809734121	0.169162867900518	0.20197977467199	0.837523797495237	0.402298206112847	0.999795387022178
"LOC100129534"	24.3497103360372	0.362761881175764	0.424024311897384	0.855521419402843	0.392262551711259	0.999795387022178
"RER1"	4293.21084346484	-0.0954593028261678	0.117810131189035	-0.810280931382686	0.417778732231469	0.999795387022178
"PEX10"	602.006173955311	-0.0207378893453497	0.16587484694486	-0.125021302067838	0.900506686039708	0.999795387022178
"PRDM16"	64.6633451082709	0.170706859040257	0.271968399581561	0.627671668116218	0.530219048942214	0.999795387022178
"LOC105378604"	31.9152394355197	0.186869139693004	0.362617554155422	0.515333958744066	0.606319672774637	0.999795387022178
"ARHGEF16"	1010.16272545078	0.107107277410976	0.10496117305738	1.02044664985235	0.307516679095507	0.999795387022178
"MEGF6"	144.603257123943	0.284798830151762	0.235152344026785	1.21112477670783	0.225847586878525	0.999795387022178
"TPRG1L"	2237.57933626801	-0.0991100558318053	0.0877159637774187	-1.12989758720886	0.258519380767886	0.999795387022178
"WRAP73"	630.086680772508	-0.0718240127192108	0.10056646352015	-0.714194476022515	0.475106932198342	0.999795387022178
"TP73"	788.79407657531	0.176199480621971	0.128444393761254	1.37179580565799	0.170127013360316	0.999795387022178
"SMIM1"	61.5662475996569	0.181986914681167	0.260793543883268	0.697819861532403	0.485289856419516	0.999795387022178
"LRRC47"	2281.81800152393	-0.097051950103399	0.0889842396646589	-1.09066448698268	0.275420542527929	0.999795387022178
"CEP104"	826.740178943592	0.0844652606849334	0.101341739725584	0.833469613938453	0.404579928048567	0.999795387022178
"DFFB"	180.397718548206	-0.197943368973501	0.179792213755481	-1.10095629192656	0.27091568047026	0.999795387022178
"C1orf174"	797.398938434418	-0.18069526669207	0.111998711014444	-1.6133691634073	0.10666432845547	0.999795387022178
"LINC01134"	18.9644420353542	-0.190474463807818	0.527025272032113	-0.361414288679901	0.717789768042064	0.999795387022178
"NPHP4"	185.146662257339	0.264366162640712	0.195916291318827	1.34938325374122	0.177213896877379	0.999795387022178
"KCNAB2"	193.128861335528	-0.00428714136989106	0.178025365769365	-0.0240816321391252	0.980787494503933	0.999795387022178
"RPL22"	21181.9341389988	0.0514319526418707	0.203813311963208	0.252348348331414	0.800771820438005	0.999795387022178
"RNF207"	78.8703701324312	0.28746009286414	0.275282727516934	1.04423584965554	0.296376284484076	0.999795387022178
"ICMT"	5215.76504605112	-0.18684208454161	0.121623414595554	-1.53623449204196	0.124480879353816	0.999795387022178
"LINC00337"	39.6801348896909	-0.0431089937354171	0.336093317266234	-0.128264953573202	0.897939298967933	0.999795387022178
"GPR153"	96.9581556958095	0.0944071632138964	0.190821686603514	0.494740220015213	0.62078350692558	0.999795387022178
"ACOT7"	4400.89563595246	-0.058677364162706	0.105979056129954	-0.553669435315165	0.579805096633413	0.999795387022178
"ESPN"	237.05936973518	0.090204365925093	0.218634251135626	0.412581127872486	0.679913530416002	0.999795387022178
"PLEKHG5"	126.976632060933	0.291344813987492	0.19493105319266	1.4946044214902	0.135017711542124	0.999795387022178
"NOL9"	1768.37638421713	-0.00787828238171375	0.133171689669157	-0.0591588377476176	0.952825594909241	0.999795387022178
"ZBTB48"	292.183067837332	0.0929956429367838	0.197554552189614	0.47073399173068	0.637830707185262	0.999795387022178
"KLHL21"	1999.86513626051	-0.206962683505603	0.157155512411721	-1.31692920171579	0.187862357065757	0.999795387022178
"PHF13"	1402.13403396713	0.0140872526008107	0.0891029439662418	0.158100865961824	0.87437731825574	0.999795387022178
"THAP3"	425.993728040683	-0.187406939492769	0.187819595680856	-0.997802911956067	0.318374937873703	0.999795387022178
"DNAJC11"	1520.18972205799	-0.0153128397708099	0.140409766652315	-0.109058223910647	0.913156309676558	0.999795387022178
"CAMTA1"	846.544297213675	-0.0340423728374368	0.142304580598125	-0.239221904835053	0.810933518097331	0.999795387022178
"VAMP3"	2819.60603421615	-0.175332798192221	0.15197294370904	-1.15371061396234	0.248618830934343	0.999795387022178
